hostname,operator,country,city_or_scope,type,counted,alias_of,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
ptbtime4.ptb.de,PTB,Germany,separate site,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Official German legal-time service; separate resilience site
ntp.se,Netnod,Sweden,Sweden,anycast,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Official Swedish distributed service
nts.ntp.se,Netnod,Sweden,Sweden,anycast,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,NTS endpoint
gbg1.ntp.se,Netnod,Sweden,Gothenburg,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
gbg2.ntp.se,Netnod,Sweden,Gothenburg,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
mmo1.ntp.se,Netnod,Sweden,Malmo,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
mmo2.ntp.se,Netnod,Sweden,Malmo,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
sth1.ntp.se,Netnod,Sweden,Stockholm,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
sth2.ntp.se,Netnod,Sweden,Stockholm,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
sth3.ntp.se,Netnod,Sweden,Stockholm,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
sth4.ntp.se,Netnod,Sweden,Stockholm,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
svl1.ntp.se,Netnod,Sweden,Sundsvall,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
svl2.ntp.se,Netnod,Sweden,Sundsvall,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
lul1.ntp.se,Netnod,Sweden,Lulea,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
lul2.ntp.se,Netnod,Sweden,Lulea,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1
ntp.time.nl,SIDN Labs,Netherlands,Arnhem,managed service alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,TimeNL public NTP
nts.time.nl,SIDN Labs,Netherlands,Arnhem,managed service alias,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,TimeNL public NTS
any.time.nl,SIDN Labs,Netherlands,Europe,anycast,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,TimeNL anycast
ntp1.inrim.it,INRiM,Italy,Turin,server,yes,,public,no,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,UTC(IT); stratum 1
ntp2.inrim.it,INRiM,Italy,Turin,server,yes,,public,no,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,UTC(IT); stratum 1
time.inrim.it,INRiM,Italy,Turin,server,yes,,public,no,no,refused — port 4460 fermé,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,NTP plus TIME and DAYTIME
ntp.roa.es,Real Instituto y Observatorio de la Armada,Spain,Spain,managed service alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Official Spanish time service
hora.roa.es,Real Instituto y Observatorio de la Armada,Spain,San Fernando,alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp.roa.es (150.214.94.5) — MÊME machine. Exclu des décomptes.
minuto.roa.es,Real Instituto y Observatorio de la Armada,Spain,Madrid or San Fernando,server,no,ntp.roa.es,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Official Spanish time service
tempus1.gum.gov.pl,Central Office of Measures (GUM),Poland,Warsaw,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Official Polish time; stratum 1
tempus2.gum.gov.pl,Central Office of Measures (GUM),Poland,Warsaw,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Official Polish time; stratum 1
ntp11.metas.ch,METAS,Switzerland,Bern-Wabern,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Official Swiss time; stratum 1
ntp12.metas.ch,METAS,Switzerland,Bern-Wabern,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Official Swiss time; stratum 1
ntp13.metas.ch,METAS,Switzerland,Bern-Wabern,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Official Swiss time; stratum 1
ntp.metas.ch,METAS,Switzerland,Switzerland,managed service alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Alias to a METAS server
ts1.aco.net,ACOnet,Austria,Vienna,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,GPS/Galileo; stratum 1
ts2.aco.net,ACOnet,Austria,Vienna,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,GPS; stratum 1
