hostname,operator,country,city_or_scope,type,counted,alias_of,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
de.pool.ntp.org,NTP Pool Project — zone DE,Germany,,pool,no,,public,unknown,no,refused — port 4460 fermé,2,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
it.pool.ntp.org,NTP Pool Project — zone IT,Italy,,pool,no,time.cloudflare.com,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
pl.pool.ntp.org,NTP Pool Project — zone PL,Poland,,pool,no,tempus1.gum.gov.pl,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
fi.pool.ntp.org,NTP Pool Project — zone FI,Finland,,pool,no,,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),2,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
no.pool.ntp.org,NTP Pool Project — zone NO,Norway,,pool,no,,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),2,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
pt.pool.ntp.org,NTP Pool Project — zone PT,Portugal,,pool,no,,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
ro.pool.ntp.org,NTP Pool Project — zone RO,Romania,,pool,no,time.cloudflare.com,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
hu.pool.ntp.org,NTP Pool Project — zone HU,Hungary,,pool,no,,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),2,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
ie.pool.ntp.org,NTP Pool Project — zone IE,Ireland,,pool,no,time.cloudflare.com,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
cz.pool.ntp.org,NTP Pool Project — zone CZ,Czech Republic,,pool,no,time.cloudflare.com,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),2,no,yes,0/6,6/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
hr.pool.ntp.org,NTP Pool Project — zone HR,Croatia,,pool,no,,public,unknown,no,refused — port 4460 fermé,2,no,partial,0/6,5/6,standard,measured-2026-07-31,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
ntp.rxtx.dk,RXTX,Denmark,Copenhagen,community,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1 GNSS/PPS; source: Network Time Foundation public-server registry (updated 2026-03-16).
clock1.infonet.ee,Infonet,Estonia,Tallinn,community,yes,,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1 GPS/PPS; source: Network Time Foundation public-server registry.
clock2.infonet.ee,Infonet,Estonia,Tallinn,community,yes,,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Stratum 1 GPS/PPS; source: Network Time Foundation public-server registry.
ntp.cert.lv,CERT.LV,Latvia,Latvia,national cybersecurity,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Official public cluster of stratum 1 and 2 servers; CERT.LV documentation updated 2024-01-12.
ht-time01.isnic.is,ISNIC,Iceland,Reykjavik,alias,no,time0.ntp.is,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Alias DNS de time0.ntp.is (193.4.58.77) — MÊME machine. Exclu des décomptes.
mh-time01.isnic.is,ISNIC,Iceland,Reykjavik,alias,no,time1.ntp.is,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,Alias DNS de time1.ntp.is (185.93.157.24) — MÊME machine. Exclu des décomptes.
ntp1.arnes.si,ARNES,Slovenia,Ljubljana,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Official Slovenian NREN endpoint; ARNES documents stratum 1 and IPv4/IPv6.
ntp2.arnes.si,ARNES,Slovenia,Ljubljana,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Official Slovenian NREN endpoint; ARNES documents stratum 1 and IPv4/IPv6.
1.pool.chrony.eu,chrony.eu,Slovenia,Slovenia,community,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Serveur GNSS/PPS individuel du cluster chrony.eu — PAS une entrée pool à tourniquet DNS.
2.pool.chrony.eu,chrony.eu,Slovenia,Slovenia,community,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,Serveur GNSS/PPS individuel du cluster chrony.eu — PAS une entrée pool à tourniquet DNS.
3.pool.chrony.eu,chrony.eu,Slovenia,Slovenia,community,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Serveur GNSS/PPS individuel du cluster chrony.eu — PAS une entrée pool à tourniquet DNS.
4.pool.chrony.eu,chrony.eu,Slovenia,Slovenia,community,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,no,yes,6/6,6/6,standard,measured-2026-07-31,Serveur GNSS/PPS individuel du cluster chrony.eu — PAS une entrée pool à tourniquet DNS.
vreme2.dmdm.rs,DMDM,Serbia,Belgrade,national metrology,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Endpoint public stratum 2 officiel distribuant UTC(DMDM).
swice-nts1.switch.ch,SWITCH (NREN),Switzerland,Zurich,academic,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,"Endpoint NTS RÉEL du NREN suisse (certificat valide, stratum 1). C'est ce nom qu'il faut configurer — PAS ntp.switch.ch, dont le certificat ne valide pas."
time.dfm.dk,DFM (institut de métrologie danois),Denmark,Copenhagen,national metrology,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,"Stratum 1, NTS, IPv6."
ntp.units.it,Université de Trieste,Italy,Trieste,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,partial,0/6,5/6,standard,measured-2026-07-31,Une des rares sources italiennes ouvertes hors INRiM.
ntp0.fau.de,FAU Erlangen-Nuremberg,Germany,Erlangen,academic,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,no,yes,6/6,6/6,standard,measured-2026-07-31,
rustime01.rus.uni-stuttgart.de,Université de Stuttgart,Germany,Stuttgart,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
rustime02.rus.uni-stuttgart.de,Université de Stuttgart,Germany,Stuttgart,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.lrz.de,LRZ Munich,Germany,Munich,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp3.lrz.de,LRZ Munich,Germany,Munich,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp.rwth-aachen.de,RWTH Aachen,Germany,Aachen,academic,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,
ntp2.rwth-aachen.de,RWTH Aachen,Germany,Aachen,academic,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,
ntp1.gwdg.de,GWDG Göttingen,Germany,Göttingen,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.gwdg.de,GWDG Göttingen,Germany,Göttingen,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp.uni-ulm.de,Université d'Ulm,Germany,Ulm,academic,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,
time1.mikes.fi,VTT MIKES,Finland,Espoo,national metrology,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,
time2.mikes.fi,VTT MIKES,Finland,Espoo,national metrology,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp.heanet.ie,HEAnet (NREN),Ireland,Dublin,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
chronos.restena.lu,RESTENA (NREN),Luxembourg,Luxembourg,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
time.restena.lu,RESTENA (NREN),Luxembourg,Luxembourg,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.uninett.no,Sikt / Uninett (NREN),Norway,Trondheim,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp-public.uit.no,Université de Tromsø,Norway,Tromsø,academic,yes,,public,unknown,no,error — erreur,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp04.oal.ul.pt,Observatoire de Lisbonne,Portugal,Lisbonne,national metrology,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,partial,0/6,4/6,standard,measured-2026-07-31,
swice-nts2.switch.ch,SWITCH (NREN),Switzerland,Zurich,academic,yes,,public,unknown,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,
chime1.surfnet.nl,SURF (NREN),Netherlands,Utrecht,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
chime2.surfnet.nl,SURF (NREN),Netherlands,Utrecht,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
chime3.surfnet.nl,SURF (NREN),Netherlands,Utrecht,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.sp.se,RISE (institut de métrologie),Sweden,Borås,national metrology,yes,,public,unknown,no,refused — port 4460 fermé,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.sp.se,RISE (institut de métrologie),Sweden,Borås,national metrology,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
time0.ntp.is,ISNIC,Iceland,Reykjavik,operator,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
time1.ntp.is,ISNIC,Iceland,Reykjavik,operator,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
hercules.eim.gr,EIM (institut de métrologie grec),Greece,Athènes,national metrology,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp01.fccn.pt,FCCN (NREN),Portugal,Lisbonne,academic,yes,,public,unknown,no,error — erreur,,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp02.fccn.pt,FCCN (NREN),Portugal,Lisbonne,academic,yes,,public,unknown,no,error — erreur,,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp1.unistra.fr,Université de Strasbourg,France,Strasbourg,academic,yes,,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,
ntp.unistra.fr,Université de Strasbourg,France,Strasbourg,alias,no,ntp1.unistra.fr,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp1.dismail.de,dismail.de,Germany,,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.dismail.de,dismail.de,Germany,,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.ffmuc.net,Freifunk München,Germany,Munich,community,yes,,public,unknown,no,refused — port 4460 fermé,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.ffmuc.net,Freifunk München,Germany,Munich,community,no,ntp1.ffmuc.net,public,unknown,no,refused — port 4460 fermé,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.rrze.uni-erlangen.de,RRZE — FAU Erlangen-Nürnberg,Germany,Erlangen,academic,no,ntp1.fau.de,public,unknown,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,no,yes,6/6,6/6,standard,measured-2026-07-31,
ntp2.rrze.uni-erlangen.de,RRZE — FAU Erlangen-Nürnberg,Germany,Erlangen,academic,no,ntp2.fau.de,public,unknown,no,refused — port 4460 fermé,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
sysadmin.wiki,sysadmin.wiki (indépendant),Germany,Falkenstein,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,
nts1.time.nl,SIDN Labs,Netherlands,Arnhem,server,no,nts.time.nl,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,
ntp1.ja.net,Jisc (Janet — NREN),United Kingdom,,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.ja.net,Jisc (Janet — NREN),United Kingdom,,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp3.ja.net,Jisc (Janet — NREN),United Kingdom,,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.belnet.be,Belnet (NREN),Belgium,Brussels,academic,yes,,public,unknown,no,tls-error — TLS échoue,2,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.cesnet.cz,CESNET (NREN),Czech Republic,Prague,academic,yes,,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp3.cesnet.cz,CESNET (NREN),Czech Republic,Prague,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp.smu.gov.sk,SMU — Slovenský metrologický ústav,Slovakia,Bratislava,national metrology,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.sanet.sk,SANET (NREN),Slovakia,Bratislava,academic,yes,,unknown,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp2.sanet.sk,SANET (NREN),Slovakia,Bratislava,academic,yes,,unknown,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp1.niif.hu,KIFÜ / NIIF (NREN),Hungary,Budapest,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.niif.hu,KIFÜ / NIIF (NREN),Hungary,Budapest,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.eenet.ee,EENet (NREN),Estonia,Tartu,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.eenet.ee,EENet (NREN),Estonia,Tartu,academic,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.litnet.lt,LITNET (NREN),Lithuania,Kaunas,academic,no,ntp.litnet.lt,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.litnet.lt,LITNET (NREN),Lithuania,Kaunas,academic,no,ntp.litnet.lt,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp1.ien.it,INRIM (ex-IEN Galileo Ferraris),Italy,Turin,alias,no,ntp1.inrim.it,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.ien.it,INRIM (ex-IEN Galileo Ferraris),Italy,Turin,alias,no,ntp2.inrim.it,public,unknown,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.man.poznan.pl,PSNC / PIONIER,Poland,Poznań,academic,yes,,unknown,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp.inm.ro,INM — Institutul Naţional de Metrologie,Romania,Bucharest,national metrology,yes,,unknown,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp.metrology.kharkov.ua,NSC Institute of Metrology,Ukraine,Kharkiv,national metrology,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
time.metrology.kharkov.ua,NSC Institute of Metrology,Ukraine,Kharkiv,alias,yes,,public,unknown,no,error — erreur,,no,no,0/6,0/6,standard,measured-2026-07-31,
ntp2.uran.ua,URAN (NREN),Ukraine,Kyiv,academic,yes,,unknown,unknown,no,refused — port 4460 fermé,,no,no,0/6,0/6,standard,measured-2026-07-31,
time.ume.tubitak.gov.tr,TÜBİTAK UME,Turkey,Gebze,national metrology,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
nts.sth1.ntp.se,Netnod,Sweden,Stockholm,alias,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-31,
time.apple.com,Apple,International,Europe,hyperscaler,no,time.euro.apple.com,public,no,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp.heppen.be,ON5HB (radioamateurs),Belgium,Heppen,community,yes,,public,no,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp.teambelgium.net,Team Belgium,Belgium,Antwerp,alias,no,nts.teambelgium.net,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-31,
os.ntp.carnet.hr,CARNET (NREN),Croatia,Osijek,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,partial,0/6,3/6,standard,measured-2026-07-31,
ri.ntp.carnet.hr,CARNET (NREN),Croatia,Rijeka,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,partial,0/6,1/6,standard,measured-2026-07-31,
st.ntp.carnet.hr,CARNET (NREN),Croatia,Split,academic,yes,,public,no,no,refused — port 4460 fermé,2,no,partial,0/6,3/6,standard,measured-2026-07-31,
zg1.ntp.carnet.hr,CARNET (NREN),Croatia,Zagreb,academic,yes,,public,no,no,refused — port 4460 fermé,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
zg2.ntp.carnet.hr,CARNET (NREN),Croatia,Zagreb,academic,yes,,public,no,no,refused — port 4460 fermé,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
time1.ntp.hr,UNIZG FER REMLAB,Croatia,Zagreb,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,
time2.ntp.hr,UNIZG FER REMLAB,Croatia,Zagreb,academic,yes,,public,no,no,refused — port 4460 fermé,1,no,partial,0/6,1/6,standard,measured-2026-07-31,
ntp.dianacht.de,dianacht.de,Germany,,server,yes,,public,no,no,refused — port 4460 fermé,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntps1-0.uni-erlangen.de,FAU Erlangen-Nuremberg,Germany,Erlangen,academic,no,ntp0.fau.de,public,no,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),1,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntps1-1.uni-erlangen.de,FAU Erlangen-Nuremberg,Germany,Erlangen,academic,no,ntp1.fau.de,public,no,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),1,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp.i2t.ehu.eus,Universidad del País Vasco (I2T),Spain,Bilbao,academic,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
tick.espanix.net,Espanix (IXP),Spain,Madrid,operator,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
tock.espanix.net,Espanix (IXP),Spain,Madrid,operator,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp.time.in.ua,time.in.ua,Ukraine,Kyiv,server,yes,,public,no,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp2.time.in.ua,time.in.ua,Ukraine,Kyiv,server,yes,,public,no,no,refused — port 4460 fermé,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,
ntp3.time.in.ua,time.in.ua,Ukraine,Kyiv,server,yes,,public,no,no,refused — port 4460 fermé,2,no,yes,0/6,6/6,standard,measured-2026-07-31,
ntp0.ntp-servers.net,ntp-servers.net,United Kingdom,London,server,yes,,public,no,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),2,no,yes,0/6,6/6,standard,measured-2026-07-31,Projet bulgare — machine hébergée à Londres
ntp1.ntp-servers.net,ntp-servers.net,Netherlands,Haarlem,server,yes,,public,no,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),2,yes,yes,0/6,6/6,standard,measured-2026-07-31,Projet bulgare — machine hébergée aux Pays-Bas
ntp2.ntp-servers.net,ntp-servers.net,Unknown,,server,yes,,public,no,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,Nom issu de jauderho/public-ntp-servers ; ne resout plus depuis aucun de nos 6 reseaux. Localisation NON etablie : le projet ntp-servers.net est bulgare mais ses machines vivantes sont mesurees a Londres et a Haarlem. On ne deduit pas un pays d'un nom d'operateur.
ntp3.ntp-servers.net,ntp-servers.net,Unknown,,server,yes,,public,no,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,Nom issu de jauderho/public-ntp-servers ; ne resout plus depuis aucun de nos 6 reseaux. Localisation NON etablie : le projet ntp-servers.net est bulgare mais ses machines vivantes sont mesurees a Londres et a Haarlem. On ne deduit pas un pays d'un nom d'operateur.
ntp4.ntp-servers.net,ntp-servers.net,Unknown,,server,yes,,public,no,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,Nom issu de jauderho/public-ntp-servers ; ne resout plus depuis aucun de nos 6 reseaux. Localisation NON etablie : le projet ntp-servers.net est bulgare mais ses machines vivantes sont mesurees a Londres et a Haarlem. On ne deduit pas un pays d'un nom d'operateur.
ntp5.ntp-servers.net,ntp-servers.net,Unknown,,server,yes,,public,no,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,Nom issu de jauderho/public-ntp-servers ; ne resout plus depuis aucun de nos 6 reseaux. Localisation NON etablie : le projet ntp-servers.net est bulgare mais ses machines vivantes sont mesurees a Londres et a Haarlem. On ne deduit pas un pays d'un nom d'operateur.
ntp6.ntp-servers.net,ntp-servers.net,Unknown,,server,yes,,public,no,no,dns — le nom ne résout pas,,no,no,0/6,0/6,standard,measured-2026-07-31,Nom issu de jauderho/public-ntp-servers ; ne resout plus depuis aucun de nos 6 reseaux. Localisation NON etablie : le projet ntp-servers.net est bulgare mais ses machines vivantes sont mesurees a Londres et a Haarlem. On ne deduit pas un pays d'un nom d'operateur.
