hostname,operator,country,city_or_scope,type,counted,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
time.cincura.net,Jiří Činčura,Czech Republic,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp.miuku.net,miuku.net,Finland,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp1.rdem-systems.com,RDEM Systems,France,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,3,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-1.rdem-systems.com (45.13.156.1) — MÊME machine. Exclu des décomptes.
ntp2.rdem-systems.com,RDEM Systems,France,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-2.rdem-systems.com (45.13.156.2) — MÊME machine. Exclu des décomptes.
ntp3.rdem-systems.com,RDEM Systems,France,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,3,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-3.rdem-systems.com (45.13.156.3) — MÊME machine. Exclu des décomptes.
ntp4.rdem-systems.com,RDEM Systems,France,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-4.rdem-systems.com (45.13.156.4) — MÊME machine. Exclu des décomptes.
ntp5.rdem-systems.com,RDEM Systems,France,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,3,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-5.rdem-systems.com (45.13.156.5) — MÊME machine. Exclu des décomptes.
ntp6.rdem-systems.com,RDEM Systems,France,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-6.rdem-systems.com (45.13.156.6) — MÊME machine. Exclu des décomptes.
ntp8.rdem-systems.com,RDEM Systems,France,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-8.rdem-systems.com (45.13.156.18) — MÊME machine. Exclu des décomptes.
ntp9.rdem-systems.com,RDEM Systems,France,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-9.rdem-systems.com (195.12.227.213) — MÊME machine. Exclu des décomptes.
ntp10.rdem-systems.com,RDEM Systems,France,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-10.rdem-systems.com (185.10.255.61) — MÊME machine. Exclu des décomptes.
ntp11.rdem-systems.com,RDEM Systems,France,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-11.rdem-systems.com (217.26.140.161) — MÊME machine. Exclu des décomptes.
ntp3.fau.de,FAU,Germany,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,no,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp3.ipv6.fau.de,FAU,Germany,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp7.rdem-systems.com,RDEM Systems,Germany,,alias,no,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Alias DNS de ntp-7.rdem-systems.com (51.68.180.82) — MÊME machine. Exclu des décomptes.
www.jabber-germany.de,Jörg Morbitzer,Germany,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
www.masters-of-cloud.de,Jörg Morbitzer,Germany,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,no,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntp.nanosrvr.cloud,Michael Byczkowski,Germany,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
1.nts.nothingtohide.nl,Nothing to hide,Netherlands,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
2.nts.nothingtohide.nl,Nothing to hide,Netherlands,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
3.nts.nothingtohide.nl,Nothing to hide,Netherlands,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
4.nts.nothingtohide.nl,Nothing to hide,Netherlands,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
ntppool2.time.nl,TimeNL,Netherlands,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
nts.decepticon.space,Rick Betting,Netherlands,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,yes,yes,6/6,6/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
gbg1.nts.netnod.se,Netnod,Sweden,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
gbg2.nts.netnod.se,Netnod,Sweden,,server,yes,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,,no,no,6/6,0/6,standard,measured-2026-07-12,Source : jauderho/nts-servers
